x,y,heading
-2.0515643393164216,-0.69630703581448,53.445804595947266
-2.045187726692143,-0.6755782750317191,53.46267318725586
-2.0416795391731903,-0.6516501023646124,53.467769622802734
-2.039068685066863,-0.6297112402182539,53.48118591308594
-1.728389445780437,-0.6041546631132229,53.67368698120117
-0.8681740205483044,-0.6145470981333363,53.69500732421875
0.0657524438686278,-0.5681183595365438,53.88074493408203
1.0749879333387138,-0.5308131015747098,53.94810104370117
2.218334015862048,-0.48167395831890025,54.24708557128906
3.623023610160968,-0.4788693214191216,54.40522003173828
5.331148879949627,-0.43315568622526474,54.92716598510742
7.432371585365467,-0.3730284205462874,55.02508544921875
9.96694159520868,-0.29927927373403795,55.0411376953125
12.874321144902657,-0.2588939799124753,54.91365051269531
16.02134454404521,-0.2663645558882713,55.21699523925781
19.250472207288944,-0.30472463408451833,55.54049301147461
22.66956187331522,-0.3685079496258635,55.440635681152344
26.200190870367777,-0.5090155108853085,55.95290756225586
29.764550492488134,-0.6181430119407026,56.38657760620117
33.300664556422795,-0.7293371105514984,56.818363189697266
36.84898701114556,-0.8797256275879148,57.22843933105469
40.373811747752754,-1.0388904336822955,57.670936584472656
43.64271013325012,-1.200853091040925,58.015193939208984
46.84417731931029,-1.3703625530798211,58.3475227355957
49.88612572518902,-1.5197673548579158,58.48316192626953
52.074551683879655,-1.6441180792125052,59.533531188964844
